movie_name,total_orders
Carry On Kesar,7
Pataki,9
msg - the warrior lion heart,181
Smurfs: The Lost Village,56
chinnari,42
soggade chinni nayana,1
Rarandoi Veduka Chudham,59
kanupapa,2
koditta idangalai nirappuga,7
sahasame swasaga sagipo,1305
shor se shuruaat,2
and jara hatke,1
Kavan,57
The Space Between Us,5
central intelligence,1
Thodi Thodi Si Manmaaniyan,4
startrek beyond,7
Babu Baga Busy,7
Behen Hogi Teri,28
Guardians Of The Galaxy Vol. 2,202
Bishorjon,7
dangal yuddham,190
don't breathe,435
Bogan,9
Jagga Jasoos,135
double feluda,171
zhala bobhata,24
benche thakar gaan,7
parched,38
the light between oceans,1
inkokkadu,411
dhuruvangal pathinaaru,127
Mad For Each Other,1
Mandobasar Galpo,2
Spider-Man: Homecoming,141
Jackie,2
abhinetri,335
mechanic resurrection,9
King Arthur : Legend Of The Sword,24
swarnakkaduva,17
coffee with d,35
wah taj,4
kirik party,666
the accountant,460
days of tafree,66
Mubarakan,57
Chowka,27
Bank Chor,18
Chitrangada,3
saat uchakkey,79
wrong side raju,139
war dogs,4
John Wick 2,398
jayammu nischayammu raa,242
Fukri,34
udta punjab,10
kuttikal undu sookshikuka,1
ben-hur,6
the magnificent seven,205
tuu toh gayo,6
Patriots Day,15
Jomonte Suviseshangal,4
rama rama re,50
neer dose,42
Bruce Lee,2
Guardians The Superheroes,47
Alien : Covenant,27
bhetaludu,1029
dodamane hudga,7
Rogue,7
Andaz Apna Apna,7
Hind Ka Napak Ko Jawab-Msg-Lion Heart-2,7048
fantastic beasts,11
Rakshadhikari Baiju - Oppu,21
the great wall,299
meenkuzhambbum manpaanayum,3
motu patlu - king of kings,105
Before I Fall,1
Srinivasa Kalyana,3
trolls,121
Transformers: The Last Knight,22
pushpaka vimana,54
mo,3
Jab We Met,16
Vekh Baraatan Challiyan,4
Duniyadari,33
Karsandas Pay And Use,70
siddhartha,11
jason bourne,2
a flying jatt,8
edvolle ramayana,19
Udta Punjab,25
Bangara S/O Bangaradha Manushya,10
tum bin 2,609
Hindi Medium,634
Jattu Engineer,1
Kittu Unnadu Jagratha,110
Raajakumara,226
The Circle,3
srirastu subhamastu,5
Dobaara: See Your Evil,13
rogue one: a star wars story,2576
santhu straight forward,61
andaz apna apna,4
nataraja service,67
rail,48
Beauty And The Beast,1255
freaky ali,347
8 Thottakkal,46
dhruva,5862
Sachin: A Billion Dreams,500
Last Chance,3
nee jatha leka,2
Superstar,11
majaz,1
